no,BanglaName,EnglishName,OrganizationType,EnglishParent,BanglaParent,domainname
276,ফায়ার সার্ভিস ও সিভিল ডিফেন্স অধিদপ্তর,Department of Fire Service and Civil Defence,Directorate,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,fireservice.gov.bd
277,ইমিগ্রেশন ও পাসপোর্ট অধিদপ্তর,Department of Immigration and Passports,Directorate,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,dip.gov.bd
278,মাদকদ্রব্য নিয়ন্ত্রণ অধিদপ্তর,Department of Narcotics Control,Directorate,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,dnc.gov.bd
279,কারা অধিদপ্তর,Department of Prisons,Directorate,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,prison.gov.bd
280,বাংলাদেশ আনসার ও গ্রাম প্রতিরক্ষা বাহিনী,Bangladesh Ansar and VDP,Others,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,ansarvdp.gov.bd
281,বাংলাদেশ কোস্ট গার্ড,Bangladesh Coast Guard,Others,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,coastguard.gov.bd
282,বর্ডার গার্ড বাংলাদেশ,Border Guard Bangladesh,Others,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,bgb.gov.bd
283,"তদন্ত সংস্থা, আন্তর্জাতিক অপরাধ ট্রাইব্যুনাল, বাংলাদেশ","Investigation Agency, International Crimes Tribunal, Bangladesh.",Others,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,ictbdinvestigation.gov.bd
284,ন্যাশনাল টেলিকমিউনিকেশন মনিটরিং সেন্টার,National Telecommunication Monitoring Center,Others,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,ntmc.gov.bd
285,"পুলিশ হেডকোয়ার্টার্স, বাংলাদেশ পুলিশ","Police Headquarters, Bangladesh Police",Others,MINISTRY OF HOME AFFAIRS,স্বরাষ্ট্র মন্ত্রণালয়,police.portal.gov.bd
286,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,Ministry of Housing and Public Works,Ministry/Division,,,mohpw.gov.bd
287,স্থাপত্য অধিদপ্তর,Department of Architecture,Directorate,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,architecture.gov.bd
288,গণপূর্ত অধিদপ্তর,Public Works Department,Directorate,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,pwd.gov.bd
289,নগর উন্নয়ন অধিদপ্তর,Urban Development Directorate (UDD),Directorate,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,udd.gov.bd
290,চট্টগ্রাম উন্নয়ন কর্তৃপক্ষ,Chattogram Development Authority,Others,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,cda.gov.bd
291,কক্সবাজার উন্নয়ন কর্তৃপক্ষ,Cox's Bazar Development Authority,Others,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,coxda.gov.bd
292,সরকারি আবাসন পরিদপ্তর,Directorate of Government Accommodation,Others,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,doga.gov.bd
293,অভ্যন্তরীণ নিরীক্ষা পরিদপ্তর,Directorate of Internal Audit,Others,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,doia.gov.bd
294,গাজীপুর উন্নয়ন কর্তৃপক্ষ,Gazipur Development Authority,Others,Ministry of Housing and Public Works,গৃহায়ন ও গণপূর্ত মন্ত্রণালয়,gda.gov.bd
