no,BanglaName,EnglishName,OrganizationType,EnglishParent,BanglaParent,domainname
471,জয়িতা ফাউন্ডেশন,Joyeeta Foundation,Others,Ministry of Women and Children Affairs,মহিলা ও শিশু বিষয়ক মন্ত্রণালয়,joyeeta.gov.bd
472,পানি সম্পদ মন্ত্রণালয়,Ministry of Water Resources,Ministry/Division,,,mowr.gov.bd
473,বাংলাদেশ হাওর ও জলাভূমি উন্নয়ন অধিদপ্তর,Department of Bangladesh Haor and Wetlands Development,Directorate,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,dbhwd.gov.bd
474,বাংলাদেশ পানি উন্নয়ন বোর্ড,Bangladesh Water Development Board,Others,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,bwdb.portal.gov.bd
475,ইনষ্টিটিউট অব ওয়াটার মডেলিং,Institute of Water Modeling,Others,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,iwmbd.org
476,"যৌথ নদী কমিশন, বাংলাদেশ","Joint Rivers Commission, Bangladesh",Others,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,jrcb.gov.bd
477,নদী গবেষণা ইনস্টিটিউট,River Research Institute (RRI),Others,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,rri.gov.bd
478,সিইজিআইএস,The Center for Environmental and Geographic Information Services (CEGIS),Others,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,cegisbd.com
479,পানি সম্পদ পরিকল্পনা সংস্থা (ওয়ারপো),Water Resources Planning Organization (WARPO),Others,Ministry of Water Resources,পানি সম্পদ মন্ত্রণালয়,warpo.gov.bd
480,যুব ও ক্রীড়া মন্ত্রণালয়,Ministry of Youth and Sports,Ministry/Division,,,moysports.gov.bd
481,যুব উন্নয়ন অধিদপ্তর,Department of Youth Development,Directorate,Ministry of Youth and Sports,যুব ও ক্রীড়া মন্ত্রণালয়,dyd.gov.bd
482,বাংলাদেশ ক্রীড়া শিক্ষা প্রতিষ্ঠান,Bangladesh Krira Shikkha Protisthan (BKSP),Others,Ministry of Youth and Sports,যুব ও ক্রীড়া মন্ত্রণালয়,bksp.gov.bd
483,ক্রীড়া পরিদপ্তর,Directorate of Sports,Others,Ministry of Youth and Sports,যুব ও ক্রীড়া মন্ত্রণালয়,ds.gov.bd
484,জাতীয় যুব উন্নয়ন ইনস্টিটিউট,National Institute of Youth Development,Others,Ministry of Youth and Sports,যুব ও ক্রীড়া মন্ত্রণালয়,niyd.gov.bd
485,জাতীয় ক্রীড়াসেবী কল্যাণ ফাউন্ডেশন,National Krirashebi Kalyan Foundation,Others,Ministry of Youth and Sports,যুব ও ক্রীড়া মন্ত্রণালয়,bkkf.portal.gov.bd
486,জাতীয় ক্রীড়া পরিষদ,National Sports Council,Others,Ministry of Youth and Sports,যুব ও ক্রীড়া মন্ত্রণালয়,nsc.gov.bd
487,মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয়,Ministry of Liberation War Affairs,Ministry/Division,,,molwa.gov.bd
488,জুলাই গণঅভ্যুত্থান অধিদপ্তর,Directorate of July Mass Uprising,Directorate,Ministry of Liberation War Affairs,মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয়,djmu.portal.gov.bd
489,বাংলাদেশ মুক্তিযোদ্ধা কল্যাণ ট্রাস্ট,Bangladesh Freedom Fighter Welfare Trust,Others,Ministry of Liberation War Affairs,মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয়,bffwt.gov.bd
490,জাতীয় মুক্তিযোদ্ধা কাউন্সিল (জামুকা),Jatio Muktijoddha Council (Jamuka),Others,Ministry of Liberation War Affairs,মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয়,jamuka.gov.bd
491,চিফ একাউন্টস এন্ড ফিন্যান্স অফিসার এর কার্যালয়,Office of the Chief Accounts and Finance Officer,Others,Ministry of Liberation War Affairs,মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয়,cafomolwa.portal.gov.bd
492,প্রবাসী কল্যাণ ও বৈদেশিক কর্মসংস্থান মন্ত্রণালয়,Ministry of Expatriates’ Welfare and Overseas Employment,Ministry/Division,,,probashi.gov.bd
493,বাংলাদেশ ওভারসিজ এমপ্লয়মেন্ট অ্যান্ড সার্ভিসেস লিঃ (বোয়েসেল),Bangladesh Overseas Employment and Services Limited. (BOESL),Others,Ministry of Expatriates’ Welfare and Overseas Employment,প্রবাসী কল্যাণ ও বৈদেশিক কর্মসংস্থান মন্ত্রণালয়,boesl.gov.bd
494,জনশক্তি কর্মসংস্থান ও প্রশিক্ষণ ব্যুরো,Bureau of Manpower Employment and Training,Others,Ministry of Expatriates’ Welfare and Overseas Employment,প্রবাসী কল্যাণ ও বৈদেশিক কর্মসংস্থান মন্ত্রণালয়,bmet.gov.bd
495,প্রবাসী কল্যাণ ব্যাংক,Probashi Kallyan Bank,Others,Ministry of Expatriates’ Welfare and Overseas Employment,প্রবাসী কল্যাণ ও বৈদেশিক কর্মসংস্থান মন্ত্রণালয়,pkb.gov.bd
496,ওয়েজ আর্নার্স কল্যাণ বোর্ড,Wage Earners' Welfare Board (WEWB),Others,Ministry of Expatriates’ Welfare and Overseas Employment,প্রবাসী কল্যাণ ও বৈদেশিক কর্মসংস্থান মন্ত্রণালয়,wewb.gov.bd
497,রেলপথ মন্ত্রণালয়,Ministry of Railways,Ministry/Division,,,mor.gov.bd
498,রেলপথ পরিদর্শন অধিদপ্তর,Department of Railway Inspection,Directorate,Ministry of Railways,রেলপথ মন্ত্রণালয়,dri.portal.gov.bd
499,"বাংলাদেশ রেলওয়ে, ঢাকা বিভাগ","Bangladesh Railway, Dhaka Division",Others,Ministry of Railways,রেলপথ মন্ত্রণালয়,railwaydhaka.gov.bd
500,"বাংলাদেশ রেলওয়ে, পশ্চিম","Bangladesh Railway, West",Others,Ministry of Railways,রেলপথ মন্ত্রণালয়,railwaywest.gov.bd
501,কনটেইনার কোম্পানি অব বাংলাদেশ লিমিটেড (সিসিবিএল),Container Company of Bangladesh Limited (CCBL),Others,Ministry of Railways,রেলপথ মন্ত্রণালয়,ccbl.gov.bd
502,"রেলওয়ে পূর্ব, বাংলাদেশ","Railway East, Bangladesh",Others,Ministry of Railways,রেলপথ মন্ত্রণালয়,railwayeast.portal.gov.bd
503,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,Ministry of Science and Technology,Ministry/Division,,,most.gov.bd
504,জাতীয় বিজ্ঞান ও প্রযুক্তি জাদুঘর,National Museum Of Science and Technology,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,nmst.gov.bd
505,নভোথিয়েটার,NovoTheatre,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,novotheatre.gov.bd
506,বাংলাদেশ পরমাণু শক্তি কমিশন,Bangladesh Atomic Energy Commission,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,baec.gov.bd
507,বাংলাদেশ পরমাণু শক্তি নিয়ন্ত্রণ কর্তৃপক্ষ,Bangladesh Atomic Energy Regulatory Authority,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,baera.gov.bd
508,বাংলাদেশ বিজ্ঞান ও শিল্প গবেষণা পরিষদ (বিসিএসআইআর),Bangladesh Council of Scientific and Industrial Research (BCSIR),Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,bcsir.gov.bd
509,বাংলাদেশ ন্যাশনাল সায়েন্টিফিক এন্ড টেকনিক্যাল ডকুমেন্টেশন সেন্টার,Bangladesh National Scientific and Technical Documentation Centre,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,bansdoc.gov.bd
510,বাংলাদেশ ওশানোগ্রাফিক রিসার্চ ইনস্টিটিউট,Bangladesh Oceanographic Research Institute,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,bori.gov.bd
511,বাংলাদেশ রেফারেন্স ইনস্টিটিউট ফর কেমিক্যাল মেজারমেন্টস্‌ (বিআরআইসিএম),Bangladesh Reference Institute for Chemical Measurements (BRICM),Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,bricm.gov.bd
512,ন্যাশনাল ইনস্টিটিউট অব বায়োটেকনোলজি,National Institute of Biotechnology,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,nib.gov.bd
513,নিউক্লিয়ার পাওয়ার প্ল্যান্ট কোম্পানী বাংলাদেশ লিমিটেড (এনপিসিবিএল),Nuclear Power Plant Company Bangladesh Limited (NPCBL),Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,npcbl.gov.bd
514,বিজ্ঞান ও প্রযুক্তি ফেলোশিপ ট্রাস্ট,Science and Technology Fellowship Trust,Others,Ministry of Science and Technology,বিজ্ঞান ও প্রযুক্তি মন্ত্রণালয়,bstft.gov.bd
